node,clustering_coefficient
24578,0.0
16391,0.0
16392,0.0
16393,0.0
16397,0.0
57358,0.3333333333333333
57359,0.3333333333333333
24597,0.0
24601,0.0
24604,0.0
16419,0.0
16424,0.16666666666666666
24583,0.0
16429,0.0
16436,0.0
16440,0.09523809523809523
16441,0.0
16445,0.0
49215,0.0
16452,0.0
24647,0.0
24650,0.0
24653,0.0
16467,0.0
24660,0.0
57435,0.16666666666666666
24669,0.0
16479,0.0
16480,0.0
77840,0.0
16500,0.0
16502,0.0
16512,0.0
16517,0.0
16523,0.0
16527,0.2
16529,0.0
16531,0.0
16409,0.022222222222222223
16537,0.0
16539,0.0
16543,0.0
16544,0.0
16548,0.0
16552,0.0
53276,0.0
16565,0.0
16566,0.0
16569,0.0
195,0.0
16587,0.0
16588,0.0
24781,0.0
16593,0.0
57561,0.0
16606,0.0
24799,0.0
8416,0.0
16609,0.0
16610,0.0
16624,0.0
16626,0.0
24821,0.0
57592,0.3333333333333333
57593,0.3333333333333333
16663,0.0
53296,0.0
16689,0.0
16692,0.0
51934,0.0
24892,0.0
19483,0.0
16727,0.1
57688,0.0
57689,0.0
57692,0.3333333333333333
57693,0.3333333333333333
74078,0.0
24927,0.0
24932,0.0
16447,0.0
24957,0.0
24958,0.0
24959,0.0
24960,0.1
16774,0.0
57736,0.0
57737,0.0
57738,0.0
16779,0.0
16787,0.0
24984,0.0
24985,0.0
16800,0.0
16801,0.0
53318,0.0
57772,0.0
57773,0.0
57774,0.0
57775,0.0
16835,0.0
25036,0.0
57808,0.3333333333333333
57809,0.3333333333333333
16852,0.0
66008,0.0
57820,0.0
57822,0.0
16867,0.0
57830,0.0
57834,0.0
57835,0.0
66033,0.0
57842,0.0
57843,0.3333333333333333
57844,0.3333333333333333
57845,0.3333333333333333
16887,0.0
57848,0.0
57850,0.0
25083,0.0
25084,0.0
57854,0.0
8706,0.0
57860,0.0
16903,0.16666666666666666
33289,0.0
66063,0.0
16916,0.0
25111,0.0
16924,0.0
16927,0.0
57889,0.0
57890,0.0
16475,0.0
57892,0.0
57894,0.0
57897,0.0
57899,0.0
57900,0.0
16941,0.3333333333333333
16946,0.0
57914,0.0
57915,0.0
57917,0.0
57918,0.0
57919,0.0
57920,0.0
57935,0.0
57937,0.0
16978,0.0
16979,1.0
49748,0.0
79127,0.0
16993,0.0
16996,0.0
17008,0.0
57970,0.0
17015,0.0
25221,0.0
17039,0.0
17040,0.0
17056,0.0
58030,0.0
58032,0.3333333333333333
58041,0.3333333333333333
58044,0.0
58045,0.0
58047,0.0
17097,0.0
17103,0.0
17122,0.0
17123,0.3333333333333333
25324,0.0
17137,0.0
58101,0.0
17150,0.3333333333333333
128,0.0
17154,0.0
17163,0.0
58126,0.0
58128,0.0
17169,0.0
58131,0.0
17175,0.0
58137,0.0
58138,0.0
17180,0.0
17190,0.0
17191,0.0
58153,0.0
66346,0.3333333333333333
17196,0.0
58158,0.0
58164,0.0
17207,0.0
58169,0.3333333333333333
58170,0.3333333333333333
58171,0.3333333333333333
58174,0.0
58175,0.0
77225,0.0
17220,0.0
58181,0.0
58184,0.0
58185,0.0
58187,0.0
58188,0.0
17229,0.0
58190,0.0
33615,0.0
53391,0.0
17248,0.0
17250,0.0
17259,0.0
53394,0.0
53395,0.0
17271,0.0
17280,0.0
66441,0.0
58250,0.3333333333333333
17295,0.0
17320,0.0
58281,0.3333333333333333
58282,0.0
58283,0.3333333333333333
58284,0.3333333333333333
58290,0.3333333333333333
58291,0.0
58292,0.0
17333,0.0
58294,0.0
58295,0.0
58304,0.0
58309,0.3333333333333333
58310,0.3333333333333333
58311,0.3333333333333333
58321,0.0
58323,0.0
58325,0.0
58327,0.3333333333333333
58328,0.3333333333333333
58329,0.3333333333333333
58330,0.0
58333,0.0
58336,0.0
66531,0.0
58340,0.0
58346,0.0
58347,0.0
58351,0.0
58353,0.0
58355,0.0
58366,0.0
58367,0.0
9216,0.0
58371,0.0
58372,0.0
58373,0.0
58375,0.0
58377,0.3333333333333333
58378,0.3333333333333333
58382,0.0
58387,0.0
1045,0.0
58390,0.0
17460,0.0
17468,0.0
74814,0.0
74824,0.0
58442,0.0
58443,0.0
58444,0.0
58445,0.0
58451,0.0
74839,0.0
17935,0.0
58462,0.0
74847,0.0
58469,0.0
58470,0.0
58471,0.0
74863,0.0
74864,0.0
58481,0.3333333333333333
58482,0.3333333333333333
58483,0.3333333333333333
58503,1.0
74903,0.0
74908,0.0
9375,0.0
71196,0.0
74934,0.0
52085,0.16666666666666666
74956,0.0
58578,0.0
58579,0.0
58580,0.0
56507,0.3333333333333333
25814,0.0
74976,0.0
58625,0.3333333333333333
58626,0.3333333333333333
58627,0.0
61654,0.0
17673,0.0
58635,0.0
75024,0.0
58649,0.0
75044,0.0
58667,0.3333333333333333
75056,0.0
58674,0.0
1334,0.0
17719,0.0
75078,0.0
75081,0.3333333333333333
25944,0.0
58715,0.0
75102,0.0
17776,0.13333333333333333
17777,1.0
17780,0.0
17781,0.0
17782,0.0
17783,1.0
75130,0.1
25984,0.0
9604,0.0
17802,1.0
58150,0.0
17814,0.0
52422,0.0
58794,0.0
58795,0.0
58796,0.0
17837,0.0
75200,0.0
17859,0.0
17881,0.0
17893,0.0
17904,0.0
17929,0.0
58154,0.0
52141,0.3333333333333333
75300,0.0
75312,0.0
67141,0.0
20748,0.0
18022,0.0
18024,0.0
18026,0.0
26222,0.0
34417,0.0
18039,0.0
26237,0.0
18053,0.0
53527,0.0
20760,0.0
59030,0.0
18071,0.0
75416,0.0
18073,0.0
75420,0.0
75422,0.0
75428,0.0
75434,0.0
75438,0.0
75440,0.06666666666666667
75442,0.0
75443,0.0
75444,0.0
75445,0.0
75448,0.0
75449,0.16666666666666666
18107,0.0
75452,0.0
75453,0.0
75454,0.16666666666666666
18112,0.0
75457,0.0
75459,0.3
75460,0.0
75462,0.09523809523809523
16673,0.0
75471,0.0
75473,0.0
75474,0.0
75475,0.0
75476,0.0
75477,0.0
75481,0.0
75482,0.0
75483,0.0
75485,0.3333333333333333
75486,0.09523809523809523
75488,0.0
75490,0.08333333333333333
75492,0.0
75494,0.0
75495,0.0
75496,0.0
75497,0.0
75498,0.16666666666666666
75504,0.0
75510,0.0
75513,0.16666666666666666
75514,0.0
75519,0.0
9984,0.0
42755,0.0
75535,0.0
75536,0.0
75537,0.3333333333333333
75538,0.0
75541,0.0
75546,0.0
75549,0.0
75554,0.0
75556,0.1
75557,0.0
75558,0.0
75559,0.0
59176,0.0
59177,0.0
18220,0.0
75567,0.0
75568,0.0
75570,0.0
75571,0.0
75575,0.0
75586,0.0
75588,0.0
75591,0.0
18251,0.0
75600,0.0
75603,0.0
75604,0.0
75607,0.0
75613,0.0
18274,0.0
75619,0.0
75620,0.0
75624,0.0
75626,0.0
18283,0.0
75635,0.0
75636,0.0
75637,0.0
75639,0.0
75640,0.3333333333333333
75641,0.3333333333333333
75643,0.2
26501,0.0
26509,0.0
75666,0.2
75667,0.0
75668,0.0
75671,0.0
75674,0.0
18338,0.0
75684,0.0
75685,0.0
75693,0.0
75695,0.0
75697,0.0
75706,0.0
18365,0.0
18369,0.0
75714,0.0
18376,0.1
75724,0.0
75728,0.0
75731,0.0
18390,0.0
75736,0.0
75742,0.0
75746,0.0
18403,0.0
75748,0.0
75751,0.0
18414,0.0
18417,0.0
75764,0.0
18427,0.0
75773,0.0
18433,0.0
75781,0.0
57687,0.3333333333333333
75790,0.0
18447,0.0
75813,0.0
75814,0.3333333333333333
75816,0.0
75818,0.0
18476,0.06666666666666667
24926,0.0
75834,0.0
75844,0.06666666666666667
16740,0.0
75880,0.0
75883,0.16666666666666666
18542,0.0
75903,0.0
51328,0.0
75906,0.0
75914,0.0
18571,0.0
75922,0.0
75923,0.0
75927,0.0
75938,0.0
75939,0.0
18619,0.0
75970,0.0
75974,0.0
18632,0.0
18634,0.0
75996,0.0
18653,0.0
35049,0.0
18666,0.0
18677,0.0
65919,0.0
65920,0.0
76065,0.0
37258,0.0
76107,0.0
76123,0.0
76125,0.16666666666666666
76134,0.0
18791,0.0
67993,0.0
18845,0.0
2492,0.0
2493,0.3333333333333333
18886,0.0
57761,0.0
76242,0.0
76264,0.0
75618,0.0
76283,0.0
75520,0.0
76290,0.0
16812,0.0
16813,0.0
18968,0.0
30365,0.0
19005,0.0
51808,0.0
51809,0.0
51810,0.0
51813,0.3333333333333333
19046,0.0
51815,0.3333333333333333
51816,0.0
51817,0.0
18194,0.0
76403,0.0
51829,0.3333333333333333
51830,0.0
51836,0.3333333333333333
51837,0.3333333333333333
51839,0.3333333333333333
51840,0.3333333333333333
51841,0.3333333333333333
2700,0.0
51856,0.3333333333333333
51857,0.3333333333333333
25027,0.1
51862,0.0
51867,0.0
51870,0.0
51871,0.0
51872,0.0
51873,0.0
51874,0.0
51875,0.0
51876,0.0
51877,0.0
51885,0.0
51892,0.0
51897,0.0
51902,0.0
51904,0.0
51905,0.3333333333333333
51907,0.0
51916,0.0
16767,0.0
76499,0.0
51931,0.0
51932,0.3333333333333333
51933,0.3333333333333333
19166,0.0
51936,0.0
51937,0.0
51938,0.0
51939,0.0
51940,0.0
51944,0.0
51946,0.0
51949,0.0
51951,0.0
51952,0.0
51954,0.0
51955,0.0
51956,0.0
51959,0.0
51960,0.0
51970,0.0
51988,0.0
19224,0.0
51996,0.0
51997,0.0
52000,0.0
52001,0.0
27429,0.0
52006,0.3333333333333333
76593,0.0
16862,0.14285714285714285
52028,0.0
2878,0.0
52033,0.0
52036,0.0
52037,0.0
19273,0.0
52042,0.0
52045,0.0
52046,0.0
52057,0.0
52059,0.0
52064,0.0
52067,0.0
52071,0.0
19317,0.0
52086,0.3333333333333333
52087,0.0
52095,0.0
11150,0.0
52120,0.0
52125,0.0
52127,0.0
19360,0.0
52137,0.0
52138,0.0
52140,0.3333333333333333
66034,0.0
52142,0.3333333333333333
52150,0.0
52152,0.0
52163,0.0
52171,0.0
52172,0.0
60368,1.0
52188,0.0
52189,0.0
52190,0.0
52191,0.0
52199,0.0
52201,0.0
52203,0.3333333333333333
52204,0.3333333333333333
52205,0.3333333333333333
52213,0.0
52214,0.0
52215,0.0
52218,0.0
19456,1.0
52230,0.0
52231,0.0
52234,0.3333333333333333
52235,0.3333333333333333
75417,0.0
52246,0.0
52247,0.0
52248,0.0
52249,0.0
52250,0.0
52251,0.0
52252,0.0
52255,0.0
52261,0.0
52267,0.0
19520,0.0
52296,0.0
52300,0.0
52301,0.3333333333333333
52303,1.0
52305,0.0
52306,0.3333333333333333
52307,0.0
52308,0.3333333333333333
52309,0.3333333333333333
52310,0.0
52311,0.0
52312,0.0
52314,0.0
52319,0.0
52320,0.0
52322,0.3333333333333333
52323,0.0
52324,0.0
52325,0.0
52326,0.0
52327,0.0
52328,0.0
52329,0.0
52330,0.0
52331,0.0
52332,0.0
52334,0.0
52335,0.3333333333333333
52336,0.0
52337,0.3333333333333333
52338,0.0
52339,0.0
52340,1.0
52341,0.0
52347,0.0
52350,0.0
52351,0.0
52352,0.0
75627,0.1
52359,0.3333333333333333
52360,0.3333333333333333
52361,0.3333333333333333
52362,0.0
19595,0.0
19597,0.0
52367,0.0
52368,0.0
52374,0.0
19612,0.0
52383,0.3333333333333333
52387,0.3333333333333333
52388,0.3333333333333333
52389,0.0
52391,0.3333333333333333
52392,0.3333333333333333
33308,1.0
52394,0.0
19630,0.0
19639,0.0
52408,0.3333333333333333
